t,x,y,z,dx_dt,dy_dt,dz_dt
3.300330033003300301e-01,-3.412155314319931243e-01,1.011030995981395897e+00,2.890604952923961010e-02,-1.039937045510635594e+00,-1.390093322357139338e-01,2.537232463161523399e-02
3.400340034003400680e-01,-3.516100506277147209e-01,1.009587349844156767e+00,2.915080403455226621e-02,-1.038738153878709047e+00,-1.496925806588833563e-01,2.359070132062457414e-02
3.500350035003500504e-01,-3.619919577814506018e-01,1.008036815667203712e+00,2.937824679006317830e-02,-1.037415062457266890e+00,-1.603845946480098594e-01,2.190930422491832452e-02
3.600360036003600328e-01,-3.723600154205629065e-01,1.006379311923809583e+00,2.958935247561709364e-02,-1.035968664399426586e+00,-1.710841530358009899e-01,2.032279914487730710e-02
3.700370037003700707e-01,-3.827129948245699409e-01,1.004614769272135444e+00,2.978504369982143407e-02,-1.034399812971956933e+00,-1.817900409701428410e-01,1.882612763567848013e-02
3.800380038003800531e-01,-3.930496752348687783e-01,1.002743130422835582e+00,2.996619577593045286e-02,-1.032709326198766098e+00,-1.925010491503016397e-01,1.741448055944247453e-02
3.900390039003900355e-01,-4.033688441005320313e-01,1.000764350188657170e+00,3.013363615867995296e-02,-1.030897986347337092e+00,-2.032159740628005917e-01,1.608330390965154177e-02
4.000400040004000735e-01,-4.136692965896665575e-01,9.986783954036615452e-01,3.028814766339140568e-02,-1.028966543067052930e+00,-2.139336175089342484e-01,1.482828157974994121e-02
4.100410041004100559e-01,-4.239498351463109604e-01,9.964852448463922263e-01,3.043047139565322606e-02,-1.026915716242045473e+00,-2.246527861770324930e-01,1.364531971316490511e-02
4.200420042004200383e-01,-4.342092692444020074e-01,9.941848892002389526e-01,3.056130871676888267e-02,-1.024746197917007828e+00,-2.353722914043542003e-01,1.253053678935658888e-02
4.300430043004300762e-01,-4.444464152338256091e-01,9.917773310305199042e-01,3.068132275402445097e-02,-1.022458653784544369e+00,-2.460909490277216061e-01,1.148025638940247672e-02
4.400440044004400586e-01,-4.546600960483103138e-01,9.892625847331072420e-01,3.079114057757142281e-02,-1.020053725310678727e+00,-2.568075791016888321e-01,1.049099577540724137e-02
4.500450045004500410e-01,-4.648491407773684414e-01,9.866406764572146493e-01,3.089135612464029984e-02,-1.017532032581854873e+00,-2.675210054859255004e-01,9.559449737563563421e-03
4.600460046004600789e-01,-4.750123846590326715e-01,9.839116441051547479e-01,3.098253088958649593e-02,-1.014894174994741327e+00,-2.782300558380016997e-01,8.682488048722347695e-03
4.700470047004700613e-01,-4.851486688825768501e-01,9.810755372956700970e-01,3.106519562549895849e-02,-1.012140732921169128e+00,-2.889335614234428418e-01,7.857146628368283370e-03
4.800480048004800437e-01,-4.952568403443683431e-01,9.781324173171279668e-01,3.113985227898859176e-02,-1.009272269596116489e+00,-2.996303568809427498e-01,7.080617161282748429e-03
4.900490049004900817e-01,-5.053357514116972871e-01,9.750823570808890839e-01,3.120697587483140314e-02,-1.006289332955720539e+00,-3.103192799955194481e-01,6.350236910466378060e-03
5.000500050005001196e-01,-5.153842599185046724e-01,9.719254411174786945e-01,3.126701522579045794e-02,-1.003192456343269257e+00,-3.209991716950089113e-01,5.663485710989762945e-03
5.100510051005100465e-01,-5.254012289946329295e-01,9.686617655398739313e-01,3.132039447812363930e-02,-9.999821600179975567e-01,-3.316688758866581654e-01,5.017977723292404990e-03
5.200520052005200844e-01,-5.353855268507246024e-01,9.652914379966465175e-01,3.136751486016512575e-02,-9.966589528568116085e-01,-3.423272392513952989e-01,4.411451827651347024e-03
5.300530053005301223e-01,-5.453360267353659641e-01,9.618145776572298855e-01,3.140875558022418468e-02,-9.932233332374540424e-01,-3.529731112039199425e-01,3.841767219900454888e-03
5.400540054005400492e-01,-5.552516068896808932e-01,9.582313151953597563e-01,3.144447472989859299e-02,-9.896757899252583979e-01,-3.636053438506089419e-01,3.306898917999873122e-03
5.500550055005500871e-01,-5.651311504518001794e-01,9.545417927614882059e-01,3.147501042712746305e-02,-9.860168031886156204e-01,-3.742227918995025271e-01,2.804931712208497130e-03
